date,x
1/1/1987,42881
4/1/1987,21714
7/1/1987,42682
10/1/1987,43756
1/1/1988,46724
4/1/1988,15075
7/1/1988,56513
10/1/1988,38178
1/1/1989,53552
4/1/1989,26437
7/1/1989,61063
10/1/1989,36979
1/1/1990,55632
4/1/1990,13540
7/1/1990,54592
10/1/1990,48255
1/1/1991,60549
4/1/1991,14927
7/1/1991,48759
10/1/1991,27499
1/1/1992,35685
4/1/1992,8318
7/1/1992,17544
10/1/1992,48881
1/1/1993,25440
4/1/1993,26389
7/1/1993,36755
10/1/1993,24576
1/1/1994,34205
4/1/1994,19470
7/1/1994,28798
10/1/1994,42301
1/1/1995,42105
4/1/1995,14857
7/1/1995,21468
10/1/1995,51864
1/1/1996,43585
4/1/1996,19619
7/1/1996,40611
10/1/1996,33845
1/1/1997,40555
4/1/1997,19033
7/1/1997,34742
10/1/1997,34241
1/1/1998,35400
4/1/1998,7480
7/1/1998,24533
10/1/1998,45623
1/1/1999,43425
4/1/1999,19524
7/1/1999,48058
10/1/1999,31933
1/1/2000,47666
4/1/2000,14641
7/1/2000,43380
10/1/2000,34589
1/1/2001,41538
4/1/2001,20316
7/1/2001,50291
10/1/2001,32636
1/1/2002,49347
4/1/2002,15642
7/1/2002,43363
10/1/2002,51994
1/1/2003,51717
4/1/2003,14555
7/1/2003,48520
10/1/2003,39897
1/1/2004,50348
4/1/2004,17629
7/1/2004,51564
10/1/2004,35715
1/1/2005,52354
4/1/2005,16287
7/1/2005,42366
10/1/2005,41006
1/1/2006,53141
4/1/2006,26208
7/1/2006,45668
10/1/2006,45936
1/1/2007,34287
4/1/2007,41670
7/1/2007,50868
10/1/2007,25294
1/1/2008,51059
4/1/2008,15157
7/1/2008,57609
10/1/2008,17353
1/1/2009,58519
4/1/2009,8577
7/1/2009,53677
10/1/2009,21799
1/1/2010,46975
4/1/2010,13685
7/1/2010,30375
10/1/2010,37144
1/1/2011,48736
4/1/2011,16698
7/1/2011,54050
10/1/2011,20743
1/1/2012,62198
4/1/2012,8975
7/1/2012,67336
10/1/2012,12830
1/1/2013,58184
4/1/2013,7833
7/1/2013,62563
10/1/2013,14320
1/1/2014,66817
4/1/2014,8651
7/1/2014,48213
10/1/2014,30118
1/1/2015,62870
4/1/2015,8715
7/1/2015,59018
10/1/2015,19956
1/1/2016,52719
4/1/2016,5752
7/1/2016,41955
10/1/2016,33973
1/1/2017,54839
4/1/2017,8243
7/1/2017,49394
10/1/2017,28775
1/1/2018,65792
4/1/2018,9197
7/1/2018,59152.39
10/1/2018,30013.18
1/1/2019,55081.54
4/1/2019,8751.74
7/1/2019,33765.07
10/1/2019,34598.94
1/1/2020,51624.42
4/1/2020,11519.21
7/1/2020,39407.72
10/1/2020,35809.69
1/1/2021,54912
4/1/2021,11220
7/1/2021,41611.48
10/1/2021,30380.93
1/1/2022,52851.92
4/1/2022,11873
